,Member_number,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,RFM_Level
1388,2433,3,7,375.31,4,4,4,444,12,Best Customers
1159,2193,91,11,361.45,3,4,4,344,11,Big Spenders
772,1793,26,10,345.1,4,4,4,444,12,Best Customers
2225,3289,4,10,334.15000000000003,4,4,4,444,12,Best Customers
1692,2743,142,7,312.46,2,4,4,244,10,Big Spenders
1759,2811,310,6,305.71999999999997,1,4,4,144,9,Big Spenders
1934,2990,140,9,303.61,3,4,4,344,11,Big Spenders
2798,3872,37,10,301.33,4,4,4,444,12,Best Customers
3655,4753,52,6,301.1,4,4,4,444,12,Best Customers
1937,2993,239,6,296.96,2,4,4,244,10,Big Spenders
3414,4509,31,6,290.74,4,4,4,444,12,Best Customers
3020,4102,57,6,289.4,4,4,4,444,12,Best Customers
3345,4437,31,9,285.6,4,4,4,444,12,Best Customers
1026,2051,46,8,284.90000000000003,4,4,4,444,12,Best Customers
694,1715,179,6,284.89,2,4,4,244,10,Big Spenders
163,1169,380,9,284.8,1,4,4,144,9,Big Spenders
256,1265,88,7,279.99,3,4,4,344,11,Big Spenders
3399,4494,58,9,277.9,3,4,4,344,11,Big Spenders
1797,2851,105,9,277.40000000000003,3,4,4,344,11,Big Spenders
1176,2210,96,5,277.35,3,3,4,334,10,Big Spenders
3581,4679,50,7,277.18,4,4,4,444,12,Best Customers
50,1052,64,10,271.9,3,4,4,344,11,Big Spenders
2183,3245,22,5,271.8,4,3,4,434,11,Big Spenders
2522,3593,57,10,268.8,4,4,4,444,12,Best Customers
94,1098,48,7,267.62,4,4,4,444,12,Best Customers
1685,2736,4,7,267.4,4,4,4,444,12,Best Customers
976,2001,112,7,267.32,3,4,4,344,11,Big Spenders
3205,4293,91,7,265.7,3,4,4,344,11,Big Spenders
3730,4831,47,7,263.65,4,4,4,444,12,Best Customers
3530,4628,20,7,262.40000000000003,4,4,4,444,12,Best Customers
397,1407,154,6,261.55,2,4,4,244,10,Big Spenders
3526,4624,33,7,260.94,4,4,4,444,12,Best Customers
1655,2706,88,8,260.9,3,4,4,344,11,Big Spenders
997,2022,161,6,260.7,2,4,4,244,10,Big Spenders
848,1870,112,8,257.54,3,4,4,344,11,Big Spenders
1470,2517,18,9,256.25,4,4,4,444,12,Best Customers
1958,3014,49,5,256.0,4,3,4,434,11,Big Spenders
1582,2632,98,9,254.8,3,4,4,344,11,Big Spenders
3214,4302,55,7,254.7,4,4,4,444,12,Best Customers
3053,4137,4,9,254.04000000000002,4,4,4,444,12,Best Customers
2586,3657,92,8,253.55,3,4,4,344,11,Big Spenders
883,1905,73,9,253.51,3,4,4,344,11,Big Spenders
2996,4078,46,6,253.12,4,4,4,444,12,Best Customers
1863,2918,19,8,252.6,4,4,4,444,12,Best Customers
2120,3180,72,10,251.45,3,4,4,344,11,Big Spenders
3774,4875,65,8,249.6,3,4,4,344,11,Big Spenders
2189,3251,4,7,248.12,4,4,4,444,12,Best Customers
2879,3957,229,7,248.11,2,4,4,244,10,Big Spenders
638,1654,51,9,247.84,4,4,4,444,12,Best Customers
3585,4683,98,9,247.8,3,4,4,344,11,Big Spenders
3215,4303,5,9,245.36,4,4,4,444,12,Best Customers
2689,3761,95,8,245.10000000000002,3,4,4,344,11,Big Spenders
844,1866,52,7,244.50000000000003,4,4,4,444,12,Best Customers
2472,3543,80,6,244.34,3,4,4,344,11,Big Spenders
3185,4272,207,9,244.0,2,4,4,244,10,Big Spenders
2061,3120,7,10,243.5,4,4,4,444,12,Best Customers
1575,2625,42,10,243.06,4,4,4,444,12,Best Customers
1904,2960,11,9,242.84,4,4,4,444,12,Best Customers
3735,4836,47,5,242.0,4,3,4,434,11,Big Spenders
1151,2184,23,8,241.85999999999999,4,4,4,444,12,Best Customers
1234,2271,40,11,241.8,4,4,4,444,12,Best Customers
1398,2443,45,7,241.7,4,4,4,444,12,Best Customers
3192,4280,24,5,241.6,4,3,4,434,11,Big Spenders
2296,3361,161,9,240.5,2,4,4,244,10,Big Spenders
867,1889,124,8,240.15,3,4,4,344,11,Big Spenders
2696,3768,84,7,239.91,3,4,4,344,11,Big Spenders
3250,4338,80,11,239.75,3,4,4,344,11,Big Spenders
3149,4234,150,6,237.4,2,4,4,244,10,Big Spenders
1721,2772,26,7,237.2,4,4,4,444,12,Best Customers
1742,2794,92,7,236.4,3,4,4,344,11,Big Spenders
1678,2729,97,7,236.3,3,4,4,344,11,Big Spenders
3240,4328,123,3,236.0,3,2,4,324,9,Big Spenders
1477,2524,25,10,235.45,4,4,4,444,12,Best Customers
343,1353,324,6,235.4,1,4,4,144,9,Big Spenders
3342,4434,100,6,235.10999999999999,3,4,4,344,11,Big Spenders
552,1565,16,6,234.79,4,4,4,444,12,Best Customers
1992,3048,20,6,234.0,4,4,4,444,12,Best Customers
2841,3918,191,6,232.92000000000002,2,4,4,244,10,Big Spenders
766,1787,60,3,232.70000000000002,3,2,4,324,9,Big Spenders
3299,4389,13,7,231.44,4,4,4,444,12,Best Customers
1305,2344,13,6,230.0,4,4,4,444,12,Best Customers
2665,3737,18,11,229.58,4,4,4,444,12,Best Customers
1816,2870,66,5,228.6,3,3,4,334,10,Big Spenders
2564,3635,17,7,228.33,4,4,4,444,12,Best Customers
740,1761,89,7,228.22,3,4,4,344,11,Big Spenders
2620,3691,128,5,227.36,3,3,4,334,10,Big Spenders
2159,3221,184,9,227.20000000000002,2,4,4,244,10,Big Spenders
840,1862,116,5,225.65,3,3,4,334,10,Big Spenders
3597,4695,78,9,225.41,3,4,4,344,11,Big Spenders
62,1065,47,6,225.4,4,4,4,444,12,Best Customers
356,1366,31,6,224.1,4,4,4,444,12,Best Customers
1044,2070,11,9,223.85,4,4,4,444,12,Best Customers
1728,2779,3,6,223.55,4,4,4,444,12,Best Customers
2460,3531,123,5,223.5,3,3,4,334,10,Big Spenders
2396,3465,59,9,223.34,3,4,4,344,11,Big Spenders
1395,2440,194,9,223.29,2,4,4,244,10,Big Spenders
1994,3050,15,9,222.7,4,4,4,444,12,Best Customers
1233,2270,91,6,222.4,3,4,4,344,11,Big Spenders
2680,3752,131,6,222.36,3,4,4,344,11,Big Spenders
168,1175,183,5,222.36,2,3,4,234,9,Big Spenders
1108,2138,301,7,221.86,1,4,4,144,9,Big Spenders
2464,3535,120,5,221.5,3,3,4,334,10,Big Spenders
2750,3822,96,5,221.47,3,3,4,334,10,Big Spenders
2184,3246,125,8,221.4,3,4,4,344,11,Big Spenders
1352,2394,38,10,221.0,4,4,4,444,12,Best Customers
2803,3879,27,7,220.45000000000002,4,4,4,444,12,Best Customers
635,1651,13,7,220.35,4,4,4,444,12,Best Customers
250,1259,33,6,220.04000000000002,4,4,4,444,12,Best Customers
1687,2738,51,7,220.0,4,4,4,444,12,Best Customers
926,1949,161,6,219.8,2,4,4,244,10,Big Spenders
87,1090,70,3,219.2,3,2,4,324,9,Big Spenders
659,1677,21,5,219.0,4,3,4,434,11,Big Spenders
369,1379,170,11,217.85,2,4,4,244,10,Big Spenders
2425,3495,42,8,217.85,4,4,4,444,12,Best Customers
3326,4417,226,4,217.2,2,2,4,224,8,Big Spenders
511,1522,371,7,216.19,1,4,4,144,9,Big Spenders
1801,2855,52,8,215.0,4,4,4,444,12,Best Customers
2704,3776,165,6,214.9,2,4,4,244,10,Big Spenders
36,1038,16,6,214.20000000000002,4,4,4,444,12,Best Customers
2758,3830,73,9,214.05,3,4,4,344,11,Big Spenders
2580,3651,75,6,213.56,3,4,4,344,11,Big Spenders
3538,4636,264,4,213.55,2,2,4,224,8,Big Spenders
455,1466,29,9,213.4,4,4,4,444,12,Best Customers
3158,4243,130,6,213.34,3,4,4,344,11,Big Spenders
1707,2758,41,9,212.9,4,4,4,444,12,Best Customers
2139,3201,33,6,212.4,4,4,4,444,12,Best Customers
2882,3960,70,7,211.9,3,4,4,344,11,Big Spenders
3150,4235,11,7,211.84,4,4,4,444,12,Best Customers
2163,3225,18,7,211.7,4,4,4,444,12,Best Customers
1446,2492,50,7,210.64000000000001,4,4,4,444,12,Best Customers
3568,4666,28,6,210.57,4,4,4,444,12,Best Customers
1193,2229,8,8,210.51,4,4,4,444,12,Best Customers
1738,2789,212,8,209.6,2,4,4,244,10,Big Spenders
130,1136,57,9,209.06,4,4,4,444,12,Best Customers
2660,3732,24,7,209.02,4,4,4,444,12,Best Customers
1612,2663,70,9,208.82,3,4,4,344,11,Big Spenders
1465,2512,119,6,208.22,3,4,4,344,11,Big Spenders
49,1051,50,6,207.35999999999999,4,4,4,444,12,Best Customers
2415,3484,39,10,207.32,4,4,4,444,12,Best Customers
3688,4789,110,5,207.05,3,3,4,334,10,Big Spenders
797,1819,12,5,206.9,4,3,4,434,11,Big Spenders
3391,4486,28,6,206.66,4,4,4,444,12,Best Customers
2895,3973,119,6,205.9,3,4,4,344,11,Big Spenders
561,1574,148,10,205.70000000000002,2,4,4,244,10,Big Spenders
3699,4800,6,5,205.6,4,3,4,434,11,Big Spenders
1257,2294,98,9,205.6,3,4,4,344,11,Big Spenders
2186,3248,194,10,205.44,2,4,4,244,10,Big Spenders
610,1625,33,7,205.26,4,4,4,444,12,Best Customers
3727,4828,80,7,205.01,3,4,4,344,11,Big Spenders
1215,2251,190,5,205.0,2,3,4,234,9,Big Spenders
4,1004,28,8,204.96,4,4,4,444,12,Best Customers
2491,3562,0,5,204.76,4,3,4,434,11,Big Spenders
917,1940,42,5,204.15,4,3,4,434,11,Big Spenders
1402,2447,2,7,204.0,4,4,4,444,12,Best Customers
3428,4523,63,6,203.95,3,4,4,344,11,Big Spenders
2348,3416,45,5,203.8,4,3,4,434,11,Big Spenders
2104,3164,91,6,203.76,3,4,4,344,11,Big Spenders
420,1430,13,6,203.6,4,4,4,444,12,Best Customers
1381,2426,113,7,203.5,3,4,4,344,11,Big Spenders
3404,4499,62,6,203.26000000000002,3,4,4,344,11,Big Spenders
594,1609,13,6,203.1,4,4,4,444,12,Best Customers
1464,2511,169,8,202.74,2,4,4,244,10,Big Spenders
1501,2549,128,7,201.92000000000002,3,4,4,344,11,Big Spenders
2845,3922,124,5,201.75,3,3,4,334,10,Big Spenders
2869,3946,41,5,201.70000000000002,4,3,4,434,11,Big Spenders
1008,2033,319,4,201.5,1,2,4,124,7,Big Spenders
966,1991,21,9,201.20000000000002,4,4,4,444,12,Best Customers
637,1653,23,6,201.0,4,4,4,444,12,Best Customers
3558,4656,5,9,200.3,4,4,4,444,12,Best Customers
2873,3950,25,5,200.0,4,3,4,434,11,Big Spenders
175,1182,31,6,199.82,4,4,4,444,12,Best Customers
960,1983,143,7,199.6,2,4,4,244,10,Big Spenders
209,1218,1,7,198.7,4,4,4,444,12,Best Customers
3657,4756,103,6,198.5,3,4,4,344,11,Big Spenders
302,1312,226,6,197.8,2,4,4,244,10,Big Spenders
868,1890,217,4,197.2,2,2,4,224,8,Big Spenders
1551,2601,69,6,197.0,3,4,4,344,11,Big Spenders
1506,2555,7,7,196.8,4,4,4,444,12,Best Customers
2060,3119,185,6,196.8,2,4,4,244,10,Big Spenders
764,1785,9,7,196.3,4,4,4,444,12,Best Customers
2429,3499,240,8,196.03,2,4,4,244,10,Big Spenders
1194,2230,216,4,195.9,2,2,4,224,8,Big Spenders
890,1913,134,5,195.7,3,3,4,334,10,Big Spenders
350,1360,14,5,195.20000000000002,4,3,4,434,11,Big Spenders
3392,4487,163,7,194.7,2,4,4,244,10,Big Spenders
3838,4941,319,9,194.04000000000002,1,4,4,144,9,Big Spenders
84,1087,138,9,193.82,3,4,4,344,11,Big Spenders
1599,2650,38,4,193.70999999999998,4,2,4,424,10,Big Spenders
956,1979,39,8,193.7,4,4,4,444,12,Best Customers
2782,3855,28,8,193.5,4,4,4,444,12,Best Customers
3151,4236,35,4,193.4,4,2,4,424,10,Big Spenders
3417,4512,9,6,193.2,4,4,4,444,12,Best Customers
898,1921,49,7,193.0,4,4,4,444,12,Best Customers
326,1336,270,3,192.85000000000002,2,2,4,224,8,Big Spenders
603,1618,150,7,192.72000000000003,2,4,4,244,10,Big Spenders
2838,3915,91,10,192.63,3,4,4,344,11,Big Spenders
1665,2716,98,7,192.1,3,4,4,344,11,Big Spenders
554,1567,263,4,192.07999999999998,2,2,4,224,8,Big Spenders
1307,2346,104,5,191.9,3,3,4,334,10,Big Spenders
2637,3709,65,5,191.84,3,3,4,334,10,Big Spenders
3171,4257,131,6,191.75,3,4,4,344,11,Big Spenders
2393,3462,45,9,191.48000000000002,4,4,4,444,12,Best Customers
3133,4218,88,4,191.35000000000002,3,2,4,324,9,Big Spenders
2905,3983,112,2,191.10000000000002,3,1,4,314,8,Big Spenders
441,1452,35,6,191.04,4,4,4,444,12,Best Customers
454,1465,51,7,190.96,4,4,4,444,12,Best Customers
3682,4783,69,7,190.16,3,4,4,344,11,Big Spenders
1365,2408,112,7,189.93,3,4,4,344,11,Big Spenders
2691,3763,186,5,189.89999999999998,2,3,4,234,9,Big Spenders
3415,4510,118,7,189.76000000000002,3,4,4,344,11,Big Spenders
3103,4187,63,8,189.73000000000002,3,4,4,344,11,Big Spenders
3204,4292,25,7,189.7,4,4,4,444,12,Best Customers
3855,4958,172,5,189.7,2,3,4,234,9,Big Spenders
2861,3938,152,7,189.62,2,4,4,244,10,Big Spenders
428,1438,32,6,188.94,4,4,4,444,12,Best Customers
3242,4330,191,6,188.9,2,4,4,244,10,Big Spenders
2337,3405,261,4,188.1,2,2,4,224,8,Big Spenders
1940,2996,95,6,187.8,3,4,4,344,11,Big Spenders
1975,3031,12,5,187.8,4,3,4,434,11,Big Spenders
1139,2171,118,6,187.5,3,4,4,344,11,Big Spenders
2801,3877,104,6,187.4,3,4,4,344,11,Big Spenders
12,1013,89,8,186.75,3,4,4,344,11,Big Spenders
3228,4316,353,8,186.46,1,4,4,144,9,Big Spenders
211,1220,1,5,186.05,4,3,4,434,11,Big Spenders
756,1777,27,7,185.9,4,4,4,444,12,Best Customers
865,1887,51,7,185.8,4,4,4,444,12,Best Customers
911,1934,146,5,185.8,2,3,4,234,9,Big Spenders
2056,3115,427,7,185.54000000000002,1,4,4,144,9,Big Spenders
1639,2690,56,7,185.5,4,4,4,444,12,Best Customers
400,1410,52,10,184.95000000000002,4,4,4,444,12,Best Customers
2562,3633,1,5,184.44,4,3,4,434,11,Big Spenders
164,1170,29,7,184.44,4,4,4,444,12,Best Customers
3261,4351,131,4,184.4,3,2,4,324,9,Big Spenders
541,1554,223,5,183.5,2,3,4,234,9,Big Spenders
207,1216,127,4,183.20000000000002,3,2,4,324,9,Big Spenders
3113,4197,57,6,183.1,4,4,4,444,12,Best Customers
866,1888,207,6,183.1,2,4,4,244,10,Big Spenders
2513,3584,13,7,183.1,4,4,4,444,12,Best Customers
6,1006,199,4,182.94,2,2,4,224,8,Big Spenders
771,1792,137,3,182.84,3,2,4,324,9,Big Spenders
3573,4671,151,8,182.45000000000002,2,4,4,244,10,Big Spenders
1060,2086,211,6,182.4,2,4,4,244,10,Big Spenders
559,1572,100,7,182.1,3,4,4,344,11,Big Spenders
22,1023,185,6,182.0,2,4,4,244,10,Big Spenders
2334,3402,136,9,181.52,3,4,4,344,11,Big Spenders
713,1734,170,6,181.0,2,4,4,244,10,Big Spenders
277,1287,124,5,180.92000000000002,3,3,4,334,10,Big Spenders
2832,3909,324,6,180.85999999999999,1,4,4,144,9,Big Spenders
885,1908,157,10,180.64000000000001,2,4,4,244,10,Big Spenders
992,2017,68,7,180.4,3,4,4,344,11,Big Spenders
1785,2839,60,3,180.3,3,2,4,324,9,Big Spenders
3725,4826,198,6,180.29999999999998,2,4,4,244,10,Big Spenders
3046,4130,54,6,180.2,4,4,4,444,12,Best Customers
3766,4867,62,5,180.0,3,3,4,334,10,Big Spenders
1092,2120,84,7,180.0,3,4,4,344,11,Big Spenders
3491,4589,22,5,179.9,4,3,4,434,11,Big Spenders
909,1932,114,9,179.8,3,4,4,344,11,Big Spenders
3445,4540,71,5,179.76000000000002,3,3,4,334,10,Big Spenders
124,1129,374,5,179.64,1,3,4,134,8,Big Spenders
314,1324,3,5,179.2,4,3,4,434,11,Big Spenders
3644,4742,45,4,179.1,4,2,4,424,10,Big Spenders
633,1649,31,7,178.7,4,4,4,444,12,Best Customers
1579,2629,24,5,178.54,4,3,4,434,11,Big Spenders
1330,2370,109,7,178.26,3,4,4,344,11,Big Spenders
1972,3028,204,6,178.20000000000002,2,4,4,244,10,Big Spenders
1803,2857,256,6,177.8,2,4,4,244,10,Big Spenders
2398,3467,6,6,177.76,4,4,4,444,12,Best Customers
1340,2380,82,6,177.75,3,4,4,344,11,Big Spenders
2414,3483,38,6,177.66,4,4,4,444,12,Best Customers
3379,4473,114,4,177.5,3,2,4,324,9,Big Spenders
1780,2834,4,4,177.32,4,2,4,424,10,Big Spenders
2578,3649,192,7,177.20000000000002,2,4,4,244,10,Big Spenders
1146,2178,10,5,177.1,4,3,4,434,11,Big Spenders
2105,3165,33,5,177.1,4,3,4,434,11,Big Spenders
3004,4086,410,5,176.95,1,3,4,134,8,Big Spenders
1120,2151,92,5,176.94,3,3,4,334,10,Big Spenders
581,1595,86,7,176.9,3,4,4,344,11,Big Spenders
2374,3442,46,5,176.3,4,3,4,434,11,Big Spenders
3263,4353,128,6,176.2,3,4,4,344,11,Big Spenders
3490,4588,52,5,176.2,4,3,4,434,11,Big Spenders
2510,3581,5,7,176.2,4,4,4,444,12,Best Customers
3290,4380,57,4,175.9,4,2,4,424,10,Big Spenders
483,1494,92,6,175.74,3,4,4,344,11,Big Spenders
425,1435,250,5,175.55,2,3,4,234,9,Big Spenders
3649,4747,128,5,175.42,3,3,4,334,10,Big Spenders
2968,4049,151,3,174.9,2,2,4,224,8,Big Spenders
708,1729,15,6,174.7,4,4,4,444,12,Best Customers
385,1395,79,8,174.64000000000001,3,4,4,344,11,Big Spenders
2508,3579,0,5,174.6,4,3,4,434,11,Big Spenders
499,1510,66,7,174.51,3,4,4,344,11,Big Spenders
3486,4584,28,5,174.3,4,3,4,434,11,Big Spenders
2314,3380,49,6,174.3,4,4,4,444,12,Best Customers
472,1483,186,8,173.62,2,4,4,244,10,Big Spenders
113,1118,5,6,173.4,4,4,4,444,12,Best Customers
3014,4096,184,4,173.0,2,2,4,224,8,Big Spenders
1608,2659,22,5,172.97,4,3,4,434,11,Big Spenders
466,1477,40,6,172.9,4,4,4,444,12,Best Customers
3849,4952,69,7,172.5,3,4,4,344,11,Big Spenders
3834,4937,185,7,172.04000000000002,2,4,4,244,10,Big Spenders
3698,4799,252,7,171.85,2,4,4,244,10,Big Spenders
3321,4412,10,6,171.56,4,4,4,444,12,Best Customers
2361,3429,184,6,171.52,2,4,4,244,10,Big Spenders
200,1208,14,5,171.46,4,3,4,434,11,Big Spenders
1758,2810,0,6,171.4,4,4,4,444,12,Best Customers
2749,3821,361,4,171.1,1,2,4,124,7,Big Spenders
2893,3971,0,5,171.03,4,3,4,434,11,Big Spenders
2760,3832,166,5,170.96,2,3,4,234,9,Big Spenders
1188,2222,2,7,170.95000000000002,4,4,4,444,12,Best Customers
1051,2077,229,4,170.9,2,2,4,224,8,Big Spenders
2843,3920,234,4,170.9,2,2,4,224,8,Big Spenders
1667,2718,201,8,170.72,2,4,4,244,10,Big Spenders
3338,4430,28,5,170.7,4,3,4,434,11,Big Spenders
2558,3629,261,6,170.5,2,4,4,244,10,Big Spenders
593,1608,47,6,170.12,4,4,4,444,12,Best Customers
3029,4112,247,5,170.0,2,3,4,234,9,Big Spenders
1103,2133,147,7,169.96,2,4,4,244,10,Big Spenders
2755,3827,57,6,169.73000000000002,4,4,4,444,12,Best Customers
2281,3346,233,3,169.7,2,2,4,224,8,Big Spenders
1168,2202,93,6,169.45,3,4,4,344,11,Big Spenders
445,1456,40,6,168.74,4,4,4,444,12,Best Customers
2789,3862,42,6,168.55,4,4,4,444,12,Best Customers
236,1245,26,7,168.51,4,4,4,444,12,Best Customers
1053,2079,164,5,168.41,2,3,4,234,9,Big Spenders
973,1998,226,9,168.05,2,4,4,244,10,Big Spenders
191,1198,333,3,167.9,1,2,4,124,7,Big Spenders
3703,4804,3,6,167.54,4,4,4,444,12,Best Customers
2405,3474,127,7,167.4,3,4,4,344,11,Big Spenders
3166,4251,9,6,167.39000000000001,4,4,4,444,12,Best Customers
1519,2568,82,7,167.3,3,4,4,344,11,Big Spenders
2369,3437,331,6,167.22,1,4,4,144,9,Big Spenders
1695,2746,215,7,167.14999999999998,2,4,4,244,10,Big Spenders
1793,2847,37,6,167.0,4,4,4,444,12,Best Customers
3559,4657,137,5,166.8,3,3,4,334,10,Big Spenders
1261,2298,85,8,166.8,3,4,4,344,11,Big Spenders
3503,4601,15,7,166.65,4,4,4,444,12,Best Customers
239,1248,15,8,166.65,4,4,4,444,12,Best Customers
1347,2389,47,6,166.19,4,4,4,444,12,Best Customers
2235,3299,305,4,166.1,1,2,4,124,7,Big Spenders
1198,2234,6,6,166.0,4,4,4,444,12,Best Customers
2293,3358,276,5,165.9,2,3,4,234,9,Big Spenders
2185,3247,59,7,165.9,3,4,4,344,11,Big Spenders
1318,2357,98,7,165.85,3,4,4,344,11,Big Spenders
1511,2560,34,6,165.52,4,4,4,444,12,Best Customers
1016,2041,97,7,165.5,3,4,4,344,11,Big Spenders
3135,4220,39,5,165.5,4,3,4,434,11,Big Spenders
409,1419,267,5,165.5,2,3,4,234,9,Big Spenders
1033,2059,479,4,165.35,1,2,4,124,7,Big Spenders
3341,4433,219,5,165.2,2,3,4,234,9,Big Spenders
1341,2381,227,7,165.02,2,4,4,244,10,Big Spenders
3896,4999,4,6,164.86,4,4,4,444,12,Best Customers
375,1385,34,5,164.70000000000002,4,3,4,434,11,Big Spenders
598,1613,127,7,164.7,3,4,4,344,11,Big Spenders
761,1782,81,6,164.20000000000002,3,4,4,344,11,Big Spenders
569,1583,37,6,164.05,4,4,4,444,12,Best Customers
1873,2928,99,4,164.0,3,2,4,324,9,Big Spenders
2244,3308,68,9,163.94,3,4,4,344,11,Big Spenders
1814,2868,26,8,163.9,4,4,4,444,12,Best Customers
1568,2618,27,5,163.9,4,3,4,434,11,Big Spenders
